Mode,Stop Name,Avg. Delay Seconds
B,PLACE V. HORTA,51.363636364
B,MOORTEBEEK,61.071447265
B,SIBELIUS,75.992339611
B,DE LINDE,76.205193808
B,SCHERDEMAEL,76.464266131
B,VANHELLEMONT,77.117353059
B,NEERPEDE,77.942212675
B,HUMANITE,78.599609375
B,CUREGHEM,82.282393670
B,GLIBERT,84.223354368
B,CLEMENCEAU,85.948802947
B,VIADUC E40,88.568393363
B,JEANNE,89.628984825
B,PTE D'ANDERLECHT,89.689126514
B,BUANDERIE,90.079297430
B,LIVERPOOL,91.719986807
B,HOF TEN BERG,92.129317706
B,ALBERT I,92.558900524
B,MUSEE D'IXELLES,92.703640403
B,OPPEM,92.774647887
B,BEGUINAGE,93.495466566
B,MEIR,93.509152720
B,ETANGS D'IXELLES,93.778011131
B,NICOLAY,93.795381970
B,FRAITEUR,94.112504611
B,GEO BERNIER,94.272685693
B,KONKEL,94.352210083
B,ULB,94.786457900
B,CIM. D'IXELLES,95.500227952
B,FAUCONNERIE,95.902753659
B,CERISAIE,96.392022562
B,BUYL,96.666149254
B,THYS,98.091513492
B,BEEKKANT,98.237272064
B,CHIREC,98.368583162
B,HOP. ETT.-IXELLES,98.464566929
B,GERMOIR,98.681742354
B,ARCADES,98.841061886
B,ETTERBEEK GARE,99.564369599
B,YSER,99.667676179
B,DEUX GARES,99.674740484
B,RODIN,100.698232599
B,BIBLIOTHEQUE,100.771153846
B,DELTA,101.282391003
B,RELAIS,101.697095436
B,DELPORTE,101.962732919
B,VETERINAIRES,102.853028798
B,SIPPELBERG,103.408798910
B,DOUVRES,103.702910672
B,QUART.ST-BONIFACE,104.302855527
B,LIBERTE,104.316896471
B,BOZAR,104.527125036
B,SAINT-GERY,105.378401361
B,BEAULIEU,105.569739723
B,HOP. MILITAIRE,105.714478599
B,FOREST (BERVOETS),105.948911652
B,QUETELET,106.173262770
B,SEPT ETOILES,106.629870130
B,UCCLE-STALLE,107.005037116
B,DECROLY,107.290364661
B,FERNAND COCQ,107.904988789
B,BUEDTS,107.907965256
B,LOT STATION,108.055910543
B,JAKOB SMITS,108.244635193
B,MACHTENS,108.245238544
B,ROYALE,108.588174630
B,ROODENBERG,108.629565217
B,COMHAIRE,109
B,HANKAR,109.468207088
B,PETITE ILE,109.929411765
B,VANDROMME,110.258671780
B,SAINT-GUIDON,110.440091686
B,RESISTANCE,110.702648475
B,ELOY,110.896396396
B,VALDUC,111.000465549
B,ROUGE-CLOITRE,111.022284123
B,TRANSVAAL,111.151228733
B,GATTI DE GAMOND,111.179743888
B,CICERON,111.543180930
B,STRATEGIE,111.632161874
B,JARDIN MASSART,111.728132388
B,BIENFAITEURS,111.769497400
B,RAMIER,112.464210155
B,ARSENAL,112.638719512
B,ALTITUDE CENT,112.668917018
B,AUDERGHEM-SHOP.,112.683445190
B,DE LOMBAERDE,112.710591133
B,LATINIS,113.488010204
B,EGLISE ST-JULIEN,113.611629183
B,DOMAINE,113.950882890
B,PETIT SABLON,113.987949703
B,MONT KEMMEL,114.004072883
B,RENE GOBERT,114.236808780
B,LAINE,114.462136847
B,FETIS,114.496990973
B,LEROY,115.037277984
B,TERDELT,115.113757134
B,CHAZAL,115.149947571
B,CLESSE,115.307300509
B,HOPITAL BRACOPS,115.338806530
B,LEKAERTS,115.469480210
B,SAINTE-ANNE,115.525024534
B,IDALIE,115.824172804
B,GOSSART,115.890030021
B,CIM. DE MOLENBEEK,116.221916394
B,SCIENCE,116.527494908
B,VEEWEYDE,116.560618729
B,TRONE,116.787953819
B,MATISSE,116.793721973
B,VAN KALKEN,116.975503187
B,TWYENINCK,117.086894361
B,MONTJOIE,117.087470449
B,COLLEGE S.-COEUR,117.172927662
B,CORTENBACH,117.331568060
B,BRUSSELS AIRPORT,117.492744276
B,VILVOORDE STATION,117.593223906
B,BIPLAN,117.681576061
B,PATTON,117.717575758
B,BON AIR,117.860749051
B,HAREN,117.901640847
B,ARISTIDE BRIAND,118.202401011
B,SIMONIS,118.217266776
B,PAULSEN,118.218269858
B,BROEREN,118.274509804
B,LOUIS BERTRAND,118.317717370
B,KURTH,118.393956563
B,BROEK,118.508474576
B,NOTRE-DAME,118.606088142
B,FERNAND LEGER,118.747264622
B,SAINT-VINCENT,118.884863042
B,CONSCIENCE,119.041889280
B,BEAUTE,119.181911916
B,KRAAINEM,119.292837715
B,WESTLAND SHOPPING,119.321167012
B,LONGCHAMP,119.717413572
B,ILE SAINTE-HELENE,119.732268041
B,MUSEUM,119.803578324
B,JOSAPHAT,119.827992331
B,THUMAS,119.886520376
B,UCL SAINT-LUC,119.978146853
B,GARE DE HAREN-SUD,120.047483110
B,CIM. DE BRUXELLES,120.258696374
B,PARC MONNET,120.260038735
B,SCHOLA EUROPEA,120.282222222
B,WITLOOF,120.521475257
B,ANNECY,120.706518179
B,ZAVELPUT,120.986256375
B,BICHON,121.024336060
B,CANDRIES,121.056166896
B,BERCHEM-SHOPPING,121.116040482
B,SAINT-ANTOINE,121.601622545
B,LES 3 TILLEULS,121.871383102
B,PEUPLIERS,122.012952125
B,ARTISTES,122.040533607
B,FLAGEY,122.206914479
B,MARICOLLES,122.467018470
B,DUDEN,122.520254170
B,HET VEROOST,122.585976268
B,SIMPSON,122.734654422
B,GARE CENTRALE,122.955328701
B,JESPERS,122.956537102
B,KAREL BOGAERD,123.175310759
B,CHOPIN,123.287010401
B,MAES,123.413451374
B,CHARMILLE,123.573238387
B,DIGUE DU CANAL,123.681290973
B,SERRES ROYALES,124.000647983
B,DE BROUCKERE,124.072095929
B,LA CHASSE,124.087320417
B,MAISON D'ERASME,124.484764543
B,PRESSE,124.700256701
B,CONDOR,124.781748868
B,ROODEBEEK,124.812148538
B,HOOGBOSCH,124.979511143
B,GARE D'EVERE,125.272805880
B,LENNEKE MARE,125.350881430
B,MIROIR,125.363861004
B,GRAND SABLON,125.524696761
B,SORENSEN,125.544307233
B,BOURSE,125.580435104
B,PETERBOS,125.593999378
B,GUILLAUME,125.993487271
B,DUBOIS,125.995568140
B,HUNDERENVELD,126.003053953
B,BLYCKAERTS,126.051589340
B,NEUBERGER,126.092470702
B,GANSHOREN-SPORT,126.202290951
B,SAINT-JOSSE,126.210538205
B,PORTE DE NAMUR,126.234482391
B,MYSTERE,126.262806449
B,BASTOGNE,126.393205469
B,TRASSERSWEG,126.533819815
B,BEECKMANS,126.711876969
B,GRAND-PLACE,127.033052495
B,MADOU,127.048906519
B,ETANGS,127.088857143
B,BASCULE,127.118846618
B,HERMES,127.147716895
B,MARGUERITE,127.162842339
B,CHEMIN VERT,127.262327810
B,FONSON,127.294131346
B,VINCOTTE,127.433621605
B,CIMETIERES,127.513900048
B,POELAERT,127.514170040
B,BOSSAERT-BASILIQ.,127.684681752
B,ELBERS,127.798299320
B,JOSEPH BAECK,127.820845898
B,MAI,127.909184302
B,DUNANT,127.910059035
B,IMPRIMERIE,127.924356775
B,GARE DE BOCKSTAEL,127.937706271
B,ORBAN,127.980450292
B,CALYPSO 2000,128.135455680
B,WOESTE,128.205970149
B,MAX-PLASKY,128.235939158
B,TAMARIS,128.302940167
B,THYM,128.405398712
B,KRUIPWEG,128.420500095
B,WATERLOO WILSON,128.453101588
B,SPEECKAERT,128.477227723
B,HYMANS,128.541842061
B,VANDENHOVEN,128.564307635
B,GUTENBERG,128.819026426
B,RADIUM,129.194894366
B,AVENUE DU ROI,129.480327478
B,ROSA PARKS,129.532880845
B,DUNETTE,129.602444904
B,PRINCE DE LIEGE,129.602810278
B,SERBIE,129.697709924
B,CLEMENCE EVERARD,129.827008379
B,LEVIE,129.989708405
B,VILLON,130.049913941
B,HOEDEMAEKERS,130.104547009
B,PAIX,130.213094950
B,HEEMBEEK,130.234700740
B,FLORIDE,130.846255652
B,WIELS,130.906293706
B,LEMAN,131.008792589
B,LOYAUTE,131.153934686
B,LEOPOLD III,131.162815690
B,WILLEMYNS,131.224573299
B,ARENBERG,131.255964902
B,AULNE,131.271475867
B,VANDER ELST,131.340098545
B,PRES COMMUNS,131.347477413
B,POMMIER,131.454165876
B,ARTEMIS,131.624895362
B,HEYDENBERG,131.645710681
B,TREURENBERG,131.705065488
B,ALBERT,131.711298701
B,PADUWA,131.722799948
B,VIVIER D'OIE,131.776847613
B,MARCEL THIRY,131.800079334
B,LOWET,131.840080211
B,TIMMERMANS,131.863136758
B,DESTOUVELLES,131.890008961
B,VAN EYCK,132.012466058
B,LOISIRS,132.137824155
B,MOLIERE-LONGCHAMP,132.249140356
B,GULLEDELLE,132.331482661
B,DIABLOTINS,132.491968104
B,ROCHEFORT,132.537589956
B,PETER BENOIT,132.737790806
B,PRISON,132.822111181
B,RIETHUISEN,132.961127416
B,DEPORTES,133.000268312
B,PARC ELISABETH,133.132139719
B,ETANGS NOIRS,133.142534978
B,KEYM,133.246755908
B,MONTGOMERY,133.277048774
B,BORDET STATION,133.421203044
B,DELACROIX,133.463426791
B,PATRIE,133.476143141
B,FEVRIER,133.746024096
B,WTC,133.747265943
B,TRINITE,133.878285654
B,BOIS DES ILES,134.055515081
B,TOURNOI,134.566512244
B,GARE DU NORD,134.683038811
B,SUEDE,134.805672564
B,HIPPODROME,134.874493927
B,BASILIX,134.945962889
B,LEOPOLD I,135.071642261
B,PORTE DE HAL,135.164989059
B,DON BOSCO,135.295513748
B,BAILLI,135.394584838
B,VANNE,135.606963958
B,PAVILLON,135.656818182
B,CLOVIS,135.957618894
B,MASUI,136.073337751
B,WIENER,136.220520674
B,MELARD,136.232551233
B,MANOIR D'ANJOU,136.683268229
B,OSSEGHEM,136.883463620
B,GARE DE L'OUEST,137.008757590
B,JUPITER,137.011299435
B,ARIANE,137.019397029
B,SAINTE-ALIX,137.343742877
B,ANNEESSENS,137.506637168
B,STEPHENSON,137.571802022
B,FERME NOS PILIFS,137.706451281
B,JULES BORDET,137.723149967
B,PERMEKE,137.829705336
B,OPTIMISME,137.857769799
B,ARBRE UNIQUE,138.253363229
B,VERHEYLEWEGHEN,138.309776913
B,ICHEC,138.318804665
B,PARC MALOU,138.719216418
B,ANATOLE FRANCE,138.719602978
B,LABEUR,138.740234375
B,VAL DES SEIGNEURS,138.752613240
B,EVERE SHOPPING,138.824228292
B,EMILE DELVA,138.850309767
B,MA CAMPAGNE,138.902076478
B,VOETBALCLUB,139.097636177
B,BRABANCONNE,139.127986643
B,PADDOCK,139.259588400
B,SLEGERS,139.421634911
B,VLEURGAT,139.547610253
B,FRUITS,139.634720740
B,PEAGE,139.691701464
B,QUATRE-VENTS,139.807062359
B,MALIBRAN,139.856104064
B,VANDER MEERSCHEN,139.912073827
B,BOULEAUX,139.994080038
B,ANTOON VAN OSS,140.122944244
B,VOOT,140.187899787
B,GERSIS,140.198654941
B,PLASKY,140.265555482
B,FRANS COURTENS,140.310030395
B,BOSSUET,140.484606613
B,THIRY-WOLUWE,140.519652801
B,CHARROI,140.539783947
B,JULES CESAR,140.724468085
B,BIARRITZ,140.756925741
B,EUGENE TOUSSAINT,140.770833333
B,HOP. SAINT-PIERRE,140.839103068
B,STADE FALLON,140.886327078
B,ROOSENDAEL,141
B,INVALIDES,141.046272494
B,OUD KAPELLEKE,141.089604782
B,PLEIADES,141.151335534
B,KARREVELD,141.449484536
B,MOONENS,141.631299735
B,GAULOIS,141.683808459
B,LIVINGSTONE,141.872392211
B,TOMBERG,141.874400590
B,NEREUS,142.071886232
B,LOUIS HAP,142.097371565
B,OBSERVATOIRE,142.137391562
B,INTERNATIONAL,142.273125342
B,MONTALD,142.640625
B,DAILLY,142.679648775
B,ERNEST LAUDE,142.864981173
B,STATION LOT,142.934560327
B,JEU DE BALLE,143.035303777
B,EQUIPAGES,143.053072626
B,MAELBEEK,143.136719400
B,HERRMANN-DEBROUX,143.155485232
B,GENOT,143.159635120
B,WINTEROY,143.186855670
B,OPALE,143.268497758
B,SCHWEITZER,143.298327759
B,SCHUMAN,143.304176914
B,GARE DU MIDI,143.411308710
B,BENES,143.499913540
B,EENENS,143.643179025
B,WAPPERS,143.837720488
B,GARE DE BERCHEM,143.871600785
B,STOCKEL,143.911533816
B,HUART-HAMOIR,143.973871734
B,MERCHTEM,143.982966643
B,HOF TER MUSSCHEN,144.547449705
B,MERODE,144.745225438
B,SACRE-COEUR,145.006076389
B,JOURDAN,145.011918031
B,SCHOONEJANS,145.116068433
B,GARE FOREST-EST,145.457610113
B,BERGOJE,145.477035160
B,CARENE,145.653017781
B,DEUX CHAUSSEES,145.685109074
B,DEMEY,145.721546961
B,WATERBURY,145.827371695
B,STIENON,145.891500904
B,WERY,145.923390672
B,MOSTINCK,145.925696594
B,RUE AU BOIS,145.949597728
B,MEUDON,145.954236729
B,NATATION,146.057942058
B,PAGODES,146.119003388
B,HOPITAL BRUGMANN,146.303709743
B,GUEUX,146.453848927
B,GEORGES HENRI,146.526134311
B,DEGROOFF,146.669616850
B,SAINT-LOUIS,146.730058366
B,CHAPELLE,146.888888889
B,BOCKSTAEL,147.085485013
B,DA VINCI,147.176362488
B,CESAR DE PAEPE,147.236243158
B,HEROS,147.384341637
B,ROI BAUDOUIN,147.477399381
B,CHEVALERIE,147.537563131
B,OCEAN ATLANTIQUE,147.570231959
B,MERTENS,147.614015977
