Mode,Stop Name,Avg. Delay Seconds
M,DEMEY,84.903939962
M,STOCKEL,85.099286678
M,BEAULIEU,86.817088410
M,DELTA,87.683139535
M,LA ROUE,87.856704012
M,THIEFFRY,88.417649992
M,EDDY MERCKX,88.597745013
M,GARE CENTRALE,88.896426956
M,PARC,88.919019252
M,CERIA,88.971396834
M,SAINT-GUIDON,89.003885759
M,BIZET,89.233779434
M,ROODEBEEK,89.301309460
M,MAELBEEK,89.314372816
M,ETANGS NOIRS,89.348650955
M,JOSEPH.-CHARLOTTE,89.387793427
M,AUMALE,89.556538305
M,ALMA,89.589915477
M,GRIBAUMONT,89.685272785
M,VEEWEYDE,89.704636678
M,HANKAR,89.919747353
M,TOMBERG,90.049376559
M,DE BROUCKERE,90.061088556
M,COMTE DE FLANDRE,90.080282502
M,VANDERVELDE,90.228443584
M,SAINTE-CATHERINE,90.283440195
M,MONTGOMERY,90.378732200
M,JACQUES BREL,90.379066240
M,SCHUMAN,90.861039694
M,ERASME,90.992603872
M,CRAINHEM,91.526693456
M,PETILLON,91.950815180
M,MERODE,92.072866143
M,HERRMANN-DEBROUX,100.588605028
M,ARTS-LOI,109.850906517
M,BEEKKANT,111.606388642
M,GARE DE L'OUEST,116.414616948
M,ROI BAUDOUIN,117.824620573
M,ROGIER,126.091434349
M,TRONE,126.310375276
M,MADOU,126.395695607
M,ELISABETH,126.502248018
M,RIBAUCOURT,126.508686454
M,BOTANIQUE,126.576395582
M,PORTE DE NAMUR,126.787194364
M,YSER,127.153840897
M,PORTE DE HAL,127.309437855
M,HOTEL DES MONNAIES,127.598712446
M,LOUISE,127.868417266
M,GARE DU MIDI,129.189304544
M,DELACROIX,129.586749754
M,CLEMENCEAU,129.716897296
M,OSSEGHEM,130.911534377
M,SIMONIS,138.230000746
M,BELGICA,141.319662991
M,HEYSEL,142.580465010
M,BOCKSTAEL,143.073635057
M,STUYVENBERGH,143.307437560
M,HOUBA-BRUGMANN,143.552246340
M,PANNENHUIS,143.661088401
