Mode,Stop Name,Avg. Delay Seconds
T,FONSON,68.845347313
T,VAN CUTSEM,69.814015152
T,PAIX,74.865744508
T,TILLEUL,75.889925032
T,VERBOEKHOVEN,79.239188672
T,BORDET STATION,79.947737412
T,FOYER SCHAERBEEK.,80.2334375
T,PAVILLON,81.877700233
T,VAN BEETHOVEN,83.225343694
T,SAINT-LAMBERT,84.199636123
T,DAUTZENBERG,84.612943707
T,FRANS HALS,84.669306008
T,PARC VIVES,84.794435352
T,YSAYE,85.124844566
T,TRINITE,85.494280554
T,HELMET,85.608304795
T,ERNEST SALU,86.162441038
T,ALBERT I,87.317690311
T,BETHLEEM,87.733149931
T,HEYSEL,87.810239697
T,ROBIANO,87.834628191
T,MEIR,88.055714969
T,BARA,88.169664353
T,ARAUCARIA,88.592380533
T,BUISSONNETS,88.644613321
T,VAN PRAET,88.902687166
T,LEVURE,89.110961969
T,CONSEIL,89.325771897
T,LEFRANCQ,89.538940810
T,WAELHEM,89.672468594
T,FLAGEY,90.050662972
T,EGLISE ST-ANTOINE,90.056904762
T,GERMOIR,90.114883047
T,ACACIAS,90.133716161
T,MERODE,91.045268612
T,HOP. PAUL BRIEN,91.130542230
T,LA CHASSE,91.303576888
T,GUILLAUME TELL,91.493108201
T,CHAZAL,92.044137198
T,STUYVENBERGH,92.176139561
T,BOILEAU,92.331327890
T,DEMOLDER,92.526805082
T,HEEMBEEK,92.690854211
T,AZUR,92.712207588
T,HELIOTROPES,92.768529241
T,STALLE (P),92.872513149
T,LOUIS BERTRAND,93.190193450
T,GUILL. DE GREEF,93.299049541
T,VEREMAN,93.611983293
T,MARIUS RENARD,94.111736811
T,BASCULE,94.372529397
T,PLACE ST-PIERRE,94.822295806
T,GOSSART,95.083398590
T,FORT-JACO,95.176470588
T,SAINTE-MARIE,95.190464548
T,DIAMANT,95.436898698
T,GEORGES HENRI,96.027580772
T,MONTGOMERY,96.123951368
T,DOCKS BRUXSEL,96.662958843
T,FOYER JETTOIS,96.785512367
T,CHURCHILL,97.301994609
T,BAILLI,97.386542830
T,POLYCL. BRUGMANN,97.399797699
T,DE WAND,97.741795580
T,PRINC. ELISABETH,97.993686627
T,STIENON,98.183294088
T,LONGCHAMP,98.395996209
T,WOESTE,98.465448769
T,MOORSLEDE,98.574393109
T,HOPITAL BRUGMANN,98.592761981
T,ETTERBEEK GARE,98.608624275
T,CAVELL,98.763197587
T,CIM. DE JETTE,98.934213328
T,JACOBS FONTAINE,98.966026588
T,ROYALE,99.001953507
T,POELAERT,99.056276172
T,AVENUE DU ROI,99.342346830
T,PETIT SABLON,99.444367315
T,ROFFIAEN,99.489484127
T,LENOIR,99.794207317
T,BELGICA,100.015429934
T,VUB,100.062822719
