Line Id,Point Id,Day Of Week,Avg. Delay Seconds
1,8011,Friday,80.987558320
1,8011,Thursday,82.508972268
1,8011,Wednesday,79.757485030
1,8011,Tuesday,83.890702626
1,8011,Monday,80.595667870
1,8011,Sunday,150.889830508
1,8012,Friday,74.273273273
1,8012,Thursday,66.402684564
1,8012,Wednesday,70.926247289
1,8012,Tuesday,81.220657277
1,8012,Monday,71.475232198
1,8012,Sunday,140.771618625
1,8021,Friday,80.446969697
1,8021,Thursday,78.938144330
1,8021,Wednesday,85.196691176
1,8021,Tuesday,81.839662447
1,8021,Monday,77.786516854
1,8021,Sunday,149.767981439
1,8022,Friday,72.551724138
1,8022,Thursday,65.393103448
1,8022,Wednesday,67.890243902
1,8022,Tuesday,77.900542495
1,8022,Monday,72.200686106
1,8022,Sunday,138.562347188
1,8031,Friday,82.031630170
1,8031,Thursday,76.231527094
1,8031,Wednesday,78.322916667
1,8031,Tuesday,80.9296875
1,8031,Monday,77.465306122
1,8031,Sunday,147.428246014
1,8032,Friday,75.079470199
1,8032,Thursday,67.226229508
1,8032,Wednesday,76.645161290
1,8032,Tuesday,78.871704745
1,8032,Monday,69.514754098
1,8032,Sunday,144.967741935
1,8041,Friday,85.534381139
1,8041,Thursday,76.572016461
1,8041,Wednesday,80.570659489
1,8041,Tuesday,82.465500486
1,8041,Monday,76.221238938
1,8041,Sunday,153.706161137
1,8042,Friday,77.230158730
1,8042,Thursday,68.577405858
1,8042,Wednesday,70.742690058
1,8042,Tuesday,79.080536913
1,8042,Monday,72.074596774
1,8042,Sunday,140.191977077
1,8051,Friday,81.716981132
1,8051,Thursday,77.306976744
1,8051,Wednesday,85.392405063
1,8051,Tuesday,78.575547866
1,8051,Monday,78.256709452
1,8051,Sunday,148.091078067
1,8052,Friday,71.979351032
1,8052,Thursday,70.108108108
1,8052,Wednesday,72.250493097
1,8052,Tuesday,80.096402878
1,8052,Monday,69.799438990
1,8052,Sunday,138.353057199
1,8061,Friday,79.945175439
1,8061,Thursday,76.857142857
1,8061,Wednesday,81.312680115
1,8061,Tuesday,80.951612903
1,8061,Monday,76.823913043
1,8061,Sunday,150.192727273
1,8062,Friday,77
1,8062,Thursday,71.116915423
1,8062,Wednesday,77.707317073
1,8062,Tuesday,80.590425532
1,8062,Monday,77.557993730
1,8062,Sunday,154.425954198
1,8071,Friday,86.325581395
1,8071,Thursday,79.584319527
1,8071,Wednesday,85.714156898
1,8071,Tuesday,81.947957839
1,8071,Monday,81.478201635
1,8071,Sunday,158.102222222
1,8072,Friday,80.088471850
1,8072,Thursday,78.258160237
1,8072,Wednesday,79.691860465
1,8072,Tuesday,83.847222222
1,8072,Monday,71.518620690
1,8072,Sunday,152.645792564
1,8081,Friday,80.971153846
1,8081,Thursday,80.021381579
1,8081,Wednesday,80.965760322
1,8081,Tuesday,82.110065170
1,8081,Monday,77.742482652
1,8081,Sunday,150.032258065
1,8082,Friday,81.034782609
