Mode,Line Id,Stop Name,Avg. Delay Seconds
B,12,TRONE,132.638622247
B,12,SCHUMAN,178.432156456
B,12,MEISER,176.969993596
B,12,LUXEMBOURG,177.390512005
B,12,GENEVE,178.292506044
B,12,DA VINCI,159.280951659
B,12,BRUSSELS AIRPORT,117.492744276
B,12,BOURGET,176.546320805
B,13,VANHUFFEL,157.681769609
B,13,UZ-VUB,157.661559889
B,13,UZ-PEDIATRIE,150.119944694
B,13,UZ BRUSSEL,150.678226265
B,13,SQ. DU CENTENAIRE,167.610317914
B,13,SIMONIS,158.023214286
B,13,RIETHUISEN,156.230456026
B,13,RENIERS,119.142857143
B,13,PARC ELISABETH,151.539969170
B,13,NEREUS,153.482387739
B,13,LOWET,153.574991219
B,13,LE ROUX,187.477310924
B,13,EUGENE TOUSSAINT,95.272727273
B,13,ETANGS NOIRS,117.320968672
B,13,DIELEGHEM,149.800331858
B,13,DELHOVE,156.715472893
B,13,CPAS GANSHOREN,158.783011583
B,13,BONAVENTURE,161.714285714
B,13,AUTRIQUE,167.130726257
B,13,AUDREY HEPBURN,177.966478476
B,13,ARBRE BALLON,144.618138425
B,14,WTC,149.549446975
B,14,WILLEBROEK,151.153582931
B,14,VERBEYST,159.974770039
B,14,VANDERSTICHELEN,173.188850174
B,14,UZ-PEDIATRIE,161.666310160
B,14,UZ BRUSSEL,160.743130227
B,14,TOUR ET TAXIS,150.204225352
B,14,ROI BAUDOUIN,143.705529226
B,14,PICARD,165.809639530
B,14,PALFIJN,150.710679612
B,14,LORGE,165.541427661
B,14,LEOPOLD I,150.545596563
B,14,HEYSEL,158.449812968
B,14,GARE DU NORD,145.422250859
B,14,GARE DE JETTE,161.400045434
B,14,FIRMIN LECHARLIER,159.028533636
B,14,DEMINEURS,152.571743929
B,14,DE HEYN,153.597998332
B,14,CROCQ,157.282575986
B,14,BONAVENTURE,153.467318580
B,14,BELGICA,155.718048557
B,14,AVENUE DU PORT,146.186396181
B,14,ARBRE BALLON,157.140871883
B,14,ANCIENNE BARRIERE,149.231681786
B,14,AMETHYSTE,149.172384220
B,17,WIENER,159.163807890
B,17,VANDER ELST,164.799277978
B,17,TERCOIGNE,177.059206246
B,17,MIRAVAL,153.557663354
B,17,MICHIELS,150.147651007
B,17,LES 3 TILLEULS,160.078274150
B,17,KEYM,163.254033174
B,17,KATTENBERG,160.936451898
B,17,INTERNAT. SCHOOL,172.315091211
B,17,HEILIGENBORRE,154.689354276
B,17,GARDON,174.384446075
B,17,FORESTERIE,163.817679558
B,17,ETANGS BOITSFORT,157.337480560
B,17,EQUIPAGES,143.053072626
B,17,DIABOLO,149.282059482
B,17,CALYPSO 2000,157.857264231
B,17,BRILLANT,163.812564722
B,17,BERENSHEIDE,187.835635359
B,17,BEAULIEU,124.723566505
B,20,WTC,134.778353057
B,20,WINTEROY,143.186855670
B,20,WILLEBROEK,137.817216981
B,20,TOUR ET TAXIS,135.974080074
B,20,SCHWEITZER,143.298327759
B,20,RIBAUCOURT,139.867652154
B,20,OSSEGHEM,136.883463620
B,20,MERCHTEM,137.801248050
B,20,KARREVELD,141.449484536
B,20,GENOT,143.159635120
B,20,GARE DU NORD,122.762021053
B,20,ETANGS NOIRS,142.185892229
B,20,COMHAIRE,109
B,20,BENES,143.499913540
B,20,BASTOGNE,141.762398922
B,20,AVENUE DU PORT,137.889833735
B,21,TREVES,152.337775023
B,21,TOULOUSE,171.428432327
B,21,SCHUMAN,167.103334626
B,21,SABCA,152.810887097
B,21,RTL HOUSE,158.715570786
B,21,PLASKY,163.400279720
B,21,PERMEKE,160.452311293
B,21,PAUL LEDUC,157.593384785
B,21,PARC LEOPOLD,139.344116007
B,21,OUD KAPELLEKE,159.885481366
B,21,OPALE,166.430885901
