Time of the day,Hour of Time,Mode,Stop Name,Avg. Delay Seconds
Earlymorning,4,B,ZEPHYR,675.567567568
Earlymorning,4,B,ZAVELPUT,803.777777778
Earlymorning,4,B,WITLOOF,288.695035461
Earlymorning,4,B,WILLEMYNS,776.222222222
Earlymorning,4,B,WIELS,611.260869565
Earlymorning,4,B,WESTLAND SHOPPING,648.991452991
Earlymorning,4,B,WERY,822.833333333
Earlymorning,4,B,VTM,523.142857143
Earlymorning,4,B,VOLTAIRE,310.928571429
Earlymorning,4,B,VLIERKENS,623.3125
Earlymorning,4,B,VILVOORDE STATION,596.214285714
Earlymorning,4,B,VIADUC E40,576.365384615
Earlymorning,4,B,VETERANS COLON.,720.566037736
Earlymorning,4,B,VERHEYLEWEGHEN,554.458333333
Earlymorning,4,B,VERGER,433.766666667
Earlymorning,4,B,VERBOEKHOVEN,461.151041667
Earlymorning,4,B,VANHELLEMONT,508.783783784
Earlymorning,4,B,VANDENHOVEN,461.615853659
Earlymorning,4,B,VAN PRAET,353.617647059
Earlymorning,4,B,VAL MARIA,396.927272727
Earlymorning,4,B,UZ-PEDIATRIE,385.916666667
Earlymorning,4,B,UZ BRUSSEL,401.625
Earlymorning,4,B,ULB,503.875
Earlymorning,4,B,UCL SAINT-LUC,948
Earlymorning,4,B,UCCLE SPORT,869.4
Earlymorning,4,B,TWYENINCK,286.197604790
Earlymorning,4,B,TWEE LEEUWENWEG,520.4
Earlymorning,4,B,TRONE,507.663366337
Earlymorning,4,B,TREVES,456.888888889
Earlymorning,4,B,TRASSERSWEG,789.428571429
Earlymorning,4,B,TOULOUSE,440.138888889
Earlymorning,4,B,THYM,375.482758621
Earlymorning,4,B,THUMAS,947
Earlymorning,4,B,THIRY-WOLUWE,887
Earlymorning,4,B,TERDELT,867.6
Earlymorning,4,B,TAMARIS,344.959459459
Earlymorning,4,B,SUEDE,541.264705882
Earlymorning,4,B,STEPHENSON,919
Earlymorning,4,B,SQ. DU CENTENAIRE,925.333333333
Earlymorning,4,B,SIBELIUS,467
Earlymorning,4,B,SEPT ETOILES,99.4
Earlymorning,4,B,SCIENCE,931.5
Earlymorning,4,B,SCHWEITZER,754.647058824
Earlymorning,4,B,SCHUMAN,685.145522388
Earlymorning,4,B,SCHEUT,800.756756757
Earlymorning,4,B,SCHERDEMAEL,488.810810811
Earlymorning,4,B,SCHAERBEEK GARE,414.623287671
Earlymorning,4,B,SAINTE-FAMILLE,567.755555556
Earlymorning,4,B,SAINT-VINCENT,423.673076923
Earlymorning,4,B,SAINT-GUIDON,839.307692308
Earlymorning,4,B,SAINT-DENIS,796.655172414
Earlymorning,4,B,SAINT-ANTOINE,934
