Time of the day,Hour of Time,Mode,Line Id,Avg. Delay Seconds
Afternoon,13,B,98,139.823268206
Afternoon,13,B,95,80.052430644
Afternoon,13,B,89,139.063457568
Afternoon,13,B,88,141.946272143
Afternoon,13,B,87,96.998101146
Afternoon,13,B,86,138.425854783
Afternoon,13,B,83,153.803864050
Afternoon,13,B,80,99.734043834
Afternoon,13,B,79,126.436200378
Afternoon,13,B,78,129.241362043
Afternoon,13,B,77,619.888888889
Afternoon,13,B,76,171.582625118
Afternoon,13,B,75,137.011302096
Afternoon,13,B,74,107.437792595
Afternoon,13,B,72,115.692883895
Afternoon,13,B,71,70.978418060
Afternoon,13,B,70,161.097596717
Afternoon,13,B,66,95.443088277
Afternoon,13,B,65,91.850245150
Afternoon,13,B,64,132.599035370
Afternoon,13,B,63,115.396612635
Afternoon,13,B,61,138.813344739
Afternoon,13,B,60,124.295116093
Afternoon,13,B,59,130.486783750
Afternoon,13,B,58,127.036719190
Afternoon,13,B,57,200.176628446
Afternoon,13,B,56,144.019352014
Afternoon,13,B,54,93.378627101
Afternoon,13,B,53,90.786819900
Afternoon,13,B,50,116.365680763
Afternoon,13,B,49,76.067115552
Afternoon,13,B,48,111.386310124
Afternoon,13,B,47,105.364256027
Afternoon,13,B,46,53.751280756
Afternoon,13,B,45,106.683201200
Afternoon,13,B,43,178.845337073
Afternoon,13,B,42,107.320943135
Afternoon,13,B,41,130.987652699
Afternoon,13,B,38,118.889305816
Afternoon,13,B,37,179.869467028
Afternoon,13,B,36,141.887720384
Afternoon,13,B,34,101.282445881
Afternoon,13,B,33,195.609777015
Afternoon,13,B,29,111.430066002
Afternoon,13,B,28,128.522312508
Afternoon,13,B,27,126.793539744
Afternoon,13,B,21,115.085245902
Afternoon,13,B,20,129.555444804
Afternoon,13,B,17,140.505282144
Afternoon,13,B,14,140.368321513
Afternoon,13,B,13,132.609713538
Afternoon,13,B,12,137.434426230
Afternoon,13,M,6,140.177256115
Afternoon,13,M,5,111.204518430
Afternoon,13,M,2,109.441009275
Afternoon,13,M,1,108.484886049
Afternoon,13,T,97,112.065529816
Afternoon,13,T,93,80.373837981
Afternoon,13,T,92,105.048505847
Afternoon,13,T,82,97.307701132
Afternoon,13,T,81,72.052704099
Afternoon,13,T,62,204.755571031
Afternoon,13,T,55,56.940434478
Afternoon,13,T,51,86.602993615
Afternoon,13,T,44,103.716377507
Afternoon,13,T,39,101.987775289
Afternoon,13,T,25,105.388117284
Afternoon,13,T,19,71.407131893
Afternoon,13,T,9,121.889682816
Afternoon,13,T,8,100.363036490
Afternoon,13,T,7,77.990069104
Afternoon,13,T,4,72.753819742
Afternoon,13,T,3,82.017901296
Afternoon,14,B,98,172.420693021
Afternoon,14,B,95,76.935515457
Afternoon,14,B,89,140.196760724
Afternoon,14,B,88,152.267519933
Afternoon,14,B,87,89.315701397
Afternoon,14,B,86,143.494561934
Afternoon,14,B,83,152.690422011
Afternoon,14,B,80,95.832251863
Afternoon,14,B,79,145.436315264
Afternoon,14,B,78,127.419296117
Afternoon,14,B,77,190.370455857
Afternoon,14,B,76,151.422469824
Afternoon,14,B,75,194.891349965
Afternoon,14,B,74,133.672086721
Afternoon,14,B,72,193.407692308
Afternoon,14,B,71,71.741304222
Afternoon,14,B,70,172.200379267
Afternoon,14,B,69,434.240841777
Afternoon,14,B,66,111.927144705
Afternoon,14,B,65,87.222161691
Afternoon,14,B,64,112.992210682
Afternoon,14,B,63,121.832609482
Afternoon,14,B,61,121.880296409
Afternoon,14,B,60,125.971714643
Afternoon,14,B,59,115.541623417
Afternoon,14,B,58,133.647170838
Afternoon,14,B,57,222.623623624
Afternoon,14,B,56,144.999060856
Afternoon,14,B,54,110.358712580
Afternoon,14,B,53,99.726742266
Afternoon,14,B,50,151.066311652
Afternoon,14,B,49,74.287497749
Afternoon,14,B,48,123.194073377
Afternoon,14,B,47,116.720208184
Afternoon,14,B,46,61.370787427
Afternoon,14,B,45,103.370308697
Afternoon,14,B,43,176.153733363
Afternoon,14,B,42,103.958454387
Afternoon,14,B,41,146.236754466
Afternoon,14,B,38,118.514078328
Afternoon,14,B,37,190.579919028
Afternoon,14,B,36,143.731728570
Afternoon,14,B,34,105.989177025
Afternoon,14,B,33,175.046574116
Afternoon,14,B,29,126.002711586
Afternoon,14,B,28,148.053326003
Afternoon,14,B,27,186.191451832
Afternoon,14,B,21,127.163260698
Afternoon,14,B,20,116.897248204
Afternoon,14,B,17,129.838970801
Afternoon,14,B,14,130.480265729
Afternoon,14,B,13,138.506302177
Afternoon,14,B,12,155.036101795
Afternoon,14,M,6,144.174820436
Afternoon,14,M,5,108.405337901
Afternoon,14,M,2,114.745171340
Afternoon,14,M,1,111.785035971
