Stop Name,Mode,Avg. Delay Seconds
ABBAYE,T,105.352885362
ACACIAS,T,90.133716161
ADEPS,B,189.617787189
AERODROME,B,147.880170316
ALBERT,T,109.865853659
ALBERT,B,131.711298701
ALBERT I,T,87.317690311
ALBERT I,B,92.558900524
ALCYONS,T,104.351775487
ALMA,M,89.589915477
ALPHONSE XIII,T,113.590183464
ALTITUDE CENT,B,112.668917018
AMBIORIX,B,148.283530207
AMETHYSTE,B,148.898633257
AMITIE,T,120.981282755
ANATOLE FRANCE,B,138.719602978
ANCIENNE BARRIERE,T,118.070262598
ANCIENNE BARRIERE,B,149.231681786
ANDROMEDE,B,161.384049414
ANNECY,B,120.706518179
ANNEESSENS,T,106.026670986
ANNEESSENS,B,137.506637168
ANTOON VAN OSS,B,140.122944244
AQUIRIS,B,156.159163987
ARAUCARIA,T,88.592380533
ARBRE BALLON,T,120.272493573
ARBRE BALLON,B,153.294304371
ARBRE UNIQUE,B,138.253363229
ARCADES,B,98.841061886
ARCHIDUCS,B,154.992948287
ARENBERG,B,131.255964902
ARIANE,B,137.019397029
ARISTIDE BRIAND,B,118.202401011
ARSENAL,T,105.041706550
ARSENAL,B,112.638719512
ARTEMIS,B,131.624895362
ARTISTES,B,122.040533607
ARTS ET METIERS,T,113.283479524
ARTS-LOI,M,109.850906517
AUDERGHEM-FORET,T,119.931396786
AUDERGHEM-SHOP.,T,114.237067845
AUDERGHEM-SHOP.,B,112.683445190
AUDITOIRES-UCL,B,159.123307544
AUDREY HEPBURN,B,177.918952618
AULNE,B,131.271475867
AUMALE,M,89.556538305
AUTRIQUE,B,167.130726257
AVANT-PORT,B,169.810844116
AVENUE DU PORT,B,151.053985454
AVENUE DU ROI,T,99.342346830
AVENUE DU ROI,B,129.480327478
AVIATION,T,121.160919540
AZALEES,B,174.938282139
AZUR,T,92.712207588
BAILLI,T,97.386542830
BAILLI,B,135.394584838
BAN-EIK,T,139.569311940
BARA,T,88.169664353
BARON DE CASTRO,B,162.203225806
BARRIERE,T,113.860645068
BASCULE,T,94.372529397
BASCULE,B,127.118846618
BASILIX,B,134.945962889
BASTOGNE,B,126.393205469
BEAULIEU,M,86.817088410
