Stop Name,Mode,Day Of Week,Line Id,Avg. Delay Seconds
ABBAYE,T,Sunday,93,163.651006711
ABBAYE,T,Sunday,8,181.086460033
ABBAYE,T,Monday,93,77.978339350
ABBAYE,T,Monday,8,93.815628192
ABBAYE,T,Tuesday,93,70.571062740
ABBAYE,T,Tuesday,8,106.648542601
ABBAYE,T,Wednesday,93,70.979779412
ABBAYE,T,Wednesday,8,101.975645756
ABBAYE,T,Thursday,93,58.054913295
ABBAYE,T,Thursday,8,97.053669222
ABBAYE,T,Friday,93,54.916876574
ABBAYE,T,Friday,8,99.905840286
ABBAYE,T,Saturday,93,142.746478873
ABBAYE,T,Saturday,8,175.024203822
ACACIAS,T,Sunday,81,170.793785311
ACACIAS,T,Monday,81,72.624907339
ACACIAS,T,Tuesday,81,86.090270812
ACACIAS,T,Wednesday,81,74.808959157
ACACIAS,T,Thursday,81,77.058035714
ACACIAS,T,Friday,81,69.458980044
ACACIAS,T,Saturday,81,140.154440154
ADEPS,B,Sunday,72,273.388127854
ADEPS,B,Monday,72,185.551260504
ADEPS,B,Tuesday,72,192.714285714
ADEPS,B,Wednesday,72,148.053941909
ADEPS,B,Thursday,72,113.657894737
ADEPS,B,Friday,72,126.014388489
ADEPS,B,Saturday,72,236.428571429
AERODROME,B,Sunday,21,200.741258741
AERODROME,B,Monday,21,123.126074499
AERODROME,B,Tuesday,21,140.456647399
AERODROME,B,Wednesday,21,170.571955720
AERODROME,B,Thursday,21,132.022346369
AERODROME,B,Friday,21,118.363636364
AERODROME,B,Saturday,21,178.616666667
ALBERT,B,Sunday,54,272.032786885
ALBERT,B,Sunday,48,206.144308943
ALBERT,B,Sunday,37,226.103448276
ALBERT,B,Monday,54,105.492745836
ALBERT,B,Monday,48,105.889328063
ALBERT,B,Monday,37,149.169811321
ALBERT,B,Tuesday,54,125.007522837
ALBERT,B,Tuesday,48,101.173881145
ALBERT,B,Tuesday,37,175.606481481
ALBERT,B,Wednesday,54,106.785604900
ALBERT,B,Wednesday,48,101.618113912
ALBERT,B,Wednesday,37,158.707317073
ALBERT,B,Thursday,54,121.5
ALBERT,B,Thursday,48,80.387665198
ALBERT,B,Thursday,37,149.725190840
ALBERT,B,Friday,54,109.411838791
ALBERT,B,Friday,48,86.448330684
ALBERT,B,Friday,37,163.535087719
ALBERT,B,Saturday,54,210.704864865
ALBERT,B,Saturday,48,202.132102273
ALBERT,B,Saturday,37,222.407142857
