Time of the day,Hour of Time,Mode,Line Id,Stop Name,Avg. Delay Seconds
Afternoon,13,B,12,TRONE,131.3
Afternoon,13,B,12,SCHUMAN,159.788184438
Afternoon,13,B,12,MEISER,165.058571429
Afternoon,13,B,12,LUXEMBOURG,151.326683292
Afternoon,13,B,12,GENEVE,159.935264055
Afternoon,13,B,12,DA VINCI,127.315217391
Afternoon,13,B,12,BRUSSELS AIRPORT,99.191364082
Afternoon,13,B,12,BOURGET,125.699751861
Afternoon,13,B,13,VANHUFFEL,111.563318777
Afternoon,13,B,13,UZ-VUB,153.278481013
Afternoon,13,B,13,UZ-PEDIATRIE,155.062992126
Afternoon,13,B,13,UZ BRUSSEL,161.459627329
Afternoon,13,B,13,SQ. DU CENTENAIRE,138.911894273
Afternoon,13,B,13,SIMONIS,121.353281853
Afternoon,13,B,13,RIETHUISEN,132.821359223
Afternoon,13,B,13,RENIERS,41
Afternoon,13,B,13,PARC ELISABETH,128.994897959
Afternoon,13,B,13,NEREUS,133.336805556
Afternoon,13,B,13,LOWET,130.931914894
Afternoon,13,B,13,LE ROUX,121.392857143
Afternoon,13,B,13,EUGENE TOUSSAINT,53
Afternoon,13,B,13,ETANGS NOIRS,98.795353982
Afternoon,13,B,13,DIELEGHEM,140.819078947
Afternoon,13,B,13,DELHOVE,130.263713080
Afternoon,13,B,13,CPAS GANSHOREN,135.315634218
Afternoon,13,B,13,BONAVENTURE,132.75
Afternoon,13,B,13,AUTRIQUE,133.911111111
Afternoon,13,B,13,AUDREY HEPBURN,194.277777778
Afternoon,13,B,13,ARBRE BALLON,149.069868996
Afternoon,13,B,14,WTC,116.891129032
Afternoon,13,B,14,WILLEBROEK,127.674300254
Afternoon,13,B,14,VERBEYST,149.377708978
Afternoon,13,B,14,VANDERSTICHELEN,160.002801120
Afternoon,13,B,14,UZ-PEDIATRIE,149.849056604
Afternoon,13,B,14,UZ BRUSSEL,148.952789700
Afternoon,13,B,14,TOUR ET TAXIS,128.468531469
Afternoon,13,B,14,ROI BAUDOUIN,131.66
Afternoon,13,B,14,PICARD,150.367298578
Afternoon,13,B,14,PALFIJN,150.549019608
Afternoon,13,B,14,LORGE,151.514925373
Afternoon,13,B,14,LEOPOLD I,141.762443439
Afternoon,13,B,14,HEYSEL,121.276923077
Afternoon,13,B,14,GARE DU NORD,109.666666667
Afternoon,13,B,14,GARE DE JETTE,145.934523810
Afternoon,13,B,14,FIRMIN LECHARLIER,148.039130435
Afternoon,13,B,14,DEMINEURS,146.700787402
Afternoon,13,B,14,DE HEYN,157.141176471
Afternoon,13,B,14,CROCQ,142.910112360
Afternoon,13,B,14,BONAVENTURE,133.117241379
Afternoon,13,B,14,BELGICA,144.991596639
Afternoon,13,B,14,AVENUE DU PORT,136.248603352
Afternoon,13,B,14,ARBRE BALLON,133.678787879
Afternoon,13,B,14,ANCIENNE BARRIERE,129.107142857
Afternoon,13,B,14,AMETHYSTE,139.069387755
Afternoon,13,B,17,WIENER,132.188405797
Afternoon,13,B,17,VANDER ELST,159.568627451
Afternoon,13,B,17,TERCOIGNE,167.098214286
Afternoon,13,B,17,MIRAVAL,137.311787072
Afternoon,13,B,17,MICHIELS,156.148936170
Afternoon,13,B,17,LES 3 TILLEULS,155.859090909
Afternoon,13,B,17,KEYM,166.283746556
Afternoon,13,B,17,KATTENBERG,145.723577236
Afternoon,13,B,17,INTERNAT. SCHOOL,143.795275591
Afternoon,13,B,17,HEILIGENBORRE,95.375
Afternoon,13,B,17,GARDON,154.513513514
Afternoon,13,B,17,FORESTERIE,142.682926829
Afternoon,13,B,17,ETANGS BOITSFORT,125.582524272
Afternoon,13,B,17,EQUIPAGES,151.818181818
Afternoon,13,B,17,DIABOLO,126.139097744
Afternoon,13,B,17,CALYPSO 2000,170.6
Afternoon,13,B,17,BRILLANT,164.644444444
Afternoon,13,B,17,BERENSHEIDE,168.619047619
Afternoon,13,B,17,BEAULIEU,92.756410256
Afternoon,13,B,20,WTC,117.718543046
Afternoon,13,B,20,WINTEROY,149.859504132
Afternoon,13,B,20,WILLEBROEK,119.889135255
Afternoon,13,B,20,TOUR ET TAXIS,121.729106628
Afternoon,13,B,20,SCHWEITZER,134.741935484
Afternoon,13,B,20,RIBAUCOURT,130.616740088
Afternoon,13,B,20,OSSEGHEM,120.758940397
Afternoon,13,B,20,MERCHTEM,131.920068027
Afternoon,13,B,20,KARREVELD,134.654343808
Afternoon,13,B,20,GENOT,141.648221344
Afternoon,13,B,20,GARE DU NORD,96.258160237
Afternoon,13,B,20,ETANGS NOIRS,127.369565217
Afternoon,13,B,20,COMHAIRE,206
Afternoon,13,B,20,BENES,160.513918630
Afternoon,13,B,20,BASTOGNE,162.949606299
Afternoon,13,B,20,AVENUE DU PORT,129.751803752
Afternoon,13,B,21,TREVES,98.388625592
Afternoon,13,B,21,TOULOUSE,100.850746269
Afternoon,13,B,21,SCHUMAN,114.892063492
Afternoon,13,B,21,SABCA,118.189075630
Afternoon,13,B,21,RTL HOUSE,124.841945289
Afternoon,13,B,21,PLASKY,121.630522088
Afternoon,13,B,21,PERMEKE,105.650442478
Afternoon,13,B,21,PAUL LEDUC,113.507739938
Afternoon,13,B,21,PARC LEOPOLD,97.260869565
Afternoon,13,B,21,OUD KAPELLEKE,117.094339623
Afternoon,13,B,21,OPALE,109.481865285
Afternoon,13,B,21,MOMMAERTS,122.902027027
Afternoon,13,B,21,MIDDELWEG,127.91
Afternoon,13,B,21,MICHEL-ANGE,132.758278146
