Stop Name,Mode,Weekend,Line Id,Avg. Delay Seconds
ABBAYE,T,0,93,68.199084668
ABBAYE,T,0,8,99.950357716
ABBAYE,T,1,93,151.350828729
ABBAYE,T,1,8,177.682403433
ACACIAS,T,0,81,76.531218781
ACACIAS,T,1,81,152.592889908
ADEPS,B,0,72,169.679114799
ADEPS,B,1,72,254.699774266
AERODROME,B,0,21,137.969719909
AERODROME,B,1,21,188.411764706
ALBERT,B,0,54,113.604760461
ALBERT,B,0,48,97.784587742
ALBERT,B,0,37,159.904420550
ALBERT,B,1,54,235.076221498
ALBERT,B,1,48,203.782608696
ALBERT,B,1,37,223.823788546
ALBERT,T,0,51,109.123391813
ALBERT,T,0,4,90.239644970
ALBERT,T,0,3,90.584116399
ALBERT,T,1,51,158.559087205
ALBERT,T,1,4,137.673563218
ALBERT,T,1,3,149.056879324
ALBERT I,B,0,46,68.615576324
ALBERT I,B,1,46,170.036794355
ALBERT I,T,0,81,72.865778961
ALBERT I,T,1,81,149.765247411
ALCYONS,T,0,82,93.920352763
ALCYONS,T,1,82,155.744059742
ALMA,M,0,1,77.687893751
ALMA,M,1,1,160.267947422
ALPHONSE XIII,T,0,92,88.806034483
ALPHONSE XIII,T,1,92,233.881450488
ALTITUDE CENT,B,0,48,91.396867300
ALTITUDE CENT,B,1,48,197.310224090
AMBIORIX,B,0,64,115.356775764
AMBIORIX,B,0,63,109.958019621
AMBIORIX,B,0,60,133.015911208
AMBIORIX,B,0,56,150.922669236
AMBIORIX,B,1,64,245.587392550
AMBIORIX,B,1,63,189.144144144
AMBIORIX,B,1,60,236.127801940
AMBIORIX,B,1,56,234.388936906
AMETHYSTE,B,0,83,80.5
AMETHYSTE,B,0,14,143.091814947
AMETHYSTE,B,1,14,174.007267442
AMITIE,T,0,39,102.617079059
AMITIE,T,1,39,208.800865801
ANATOLE FRANCE,B,0,59,118.887376238
ANATOLE FRANCE,B,1,59,219.042606516
ANCIENNE BARRIERE,B,0,14,143.127510917
ANCIENNE BARRIERE,B,1,14,173.5
ANCIENNE BARRIERE,T,0,9,106.355508249
ANCIENNE BARRIERE,T,1,9,164.970880682
ANDROMEDE,B,0,79,131.847650514
ANDROMEDE,B,0,27,151.449457259
ANDROMEDE,B,1,79,245.651851852
ANDROMEDE,B,1,27,206.206459785
ANNECY,B,0,42,123.144870101
ANNECY,B,1,42,113.625319693
ANNEESSENS,B,0,48,125.008059211
ANNEESSENS,B,0,33,151.515625
ANNEESSENS,B,1,48,157.846698113
ANNEESSENS,B,1,33,165.087264151
ANNEESSENS,T,0,4,94.551793981
ANNEESSENS,T,0,3,89.166282421
ANNEESSENS,T,1,4,145.847182426
ANNEESSENS,T,1,3,149.870341615
ANTOON VAN OSS,B,0,57,160.237885463
ANTOON VAN OSS,B,0,56,133.674247081
ANTOON VAN OSS,B,0,47,90.454403741
ANTOON VAN OSS,B,1,56,229.685185185
ANTOON VAN OSS,B,1,47,178.711309524
AQUIRIS,B,0,58,140.084084084
AQUIRIS,B,1,58,221.706122449
ARAUCARIA,T,0,7,75.146539712
ARAUCARIA,T,0,3,79.542993048
ARAUCARIA,T,1,7,106.422709924
ARAUCARIA,T,1,3,152.857286432
ARBRE BALLON,B,0,88,141.545702061
ARBRE BALLON,B,0,14,151.435074269
ARBRE BALLON,B,0,13,136.488463427
