Removing 0 speed,Line Id,Mode,Avg. Speed
Include,33,B,7.701397036
Include,61,B,9.816934537
Include,63,B,10.719509597
Include,54,B,10.754704487
Include,34,B,10.852234002
Include,29,B,10.864595619
Include,66,B,11.048505960
Include,28,B,11.083542090
Include,86,B,11.127452517
Include,46,B,11.195960191
Include,27,B,11.320111479
Include,60,B,11.369410607
Include,20,B,11.444827036
Include,48,B,11.524354876
Include,13,B,11.667981585
Include,70,B,11.698674140
Include,64,B,11.703417687
Include,71,B,11.773203767
Include,45,B,11.876491051
Include,89,B,12.023359445
Include,72,B,12.133934207
Include,75,B,12.179865026
Include,59,B,12.332103072
Include,14,B,12.519057814
Include,79,B,12.596185713
Include,88,B,12.605092169
Include,38,B,12.616764650
Include,41,B,12.648779394
Include,21,B,12.949339594
Include,56,B,13.012992390
Include,76,B,13.053513202
Include,69,B,13.079382585
Include,87,B,13.276489113
Include,78,B,13.408904908
Include,49,B,13.459429599
Include,65,B,13.504055337
Include,80,B,13.505701890
Include,83,B,13.526997603
Include,53,B,13.643016155
Include,36,B,13.799940471
Include,77,B,13.873391689
Include,95,B,14.079377526
Include,50,B,14.172870251
Include,17,B,14.284331661
Include,42,B,14.483450871
Include,58,B,14.552684915
Include,43,B,14.889552521
Include,47,B,15.037121349
Include,74,B,15.181763157
Include,98,B,16.393385536
Include,57,B,16.464840737
Include,12,B,16.521524003
Include,37,B,16.611056433
